# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
1,30899718657,29173058430,0.94412052,312601593,2176565,0.696274443,4090690407,93319205,629774785.6,12711734788,206772578,1.626627533,12784622,1511308,11.82129593,1
1,1.79425E+12,1.39849E+12,0.779426233,14525534581,12903465,0.088832978,1.8939E+11,4488972378,409726814.2,5.9575E+11,9266047156,1.55535718,310292505,2047935,0.66000144,1
4,6149890312,3862433803,0.628049218,59176943,3340556,5.645029687,838437715,16350270,178520211.6,1776479835,26818635,1.509650404,54789204,3129942,5.712698436,1.159756427
4,10605927297,8266561228,0.779428427,114346488,3135936,2.742485628,1247372755,33131649,340198153.7,3634807667,61589167,1.694427124,110401825,3124761,2.830352669,1.178954526
4,1244289356,588791188,0.473194748,14594560,1514760,10.37893571,130143101,4440136,26066400.29,283478000,4243941,1.497097129,12784622,1511308,11.82129593,0.869902441
4,1.79425E+12,1.39849E+12,0.779426233,14525534581,12903465,0.088832978,1.8939E+11,4488972378,1692436679,5.9575E+11,9266047156,1.55535718,14565969127,12642040,0.086791616,4.130646617
8,6149890312,3862433803,0.628049218,59176943,3340556,5.645029687,838437715,16350270,229545241.4,1776479835,26818635,1.509650404,54789204,3129942,5.712698436,1.491240496
8,10605927297,8266561228,0.779428427,114346488,3135936,2.742485628,1247372755,33131649,422144853.6,3634807667,61589167,1.694427124,110401825,3124761,2.830352669,1.462940291
8,1244289356,588791188,0.473194748,14594560,1514760,10.37893571,130143101,4440136,35257304.98,283478000,4243941,1.497097129,12784622,1511308,11.82129593,1.176626435
8,1.79425E+12,1.39849E+12,0.779426233,14525534581,12903465,0.088832978,1.8939E+11,4488972378,2111394003,5.9575E+11,9266047156,1.55535718,14565969127,12642040,0.086791616,5.153175067
16,6149890312,3862433803,0.628049218,59176943,3340556,5.645029687,838437715,16350270,174461971.4,1776479835,26818635,1.509650404,54789204,3129942,5.712698436,1.133392072
16,10605927297,8266561228,0.779428427,114346488,3135936,2.742485628,1247372755,33131649,312212174.5,3634807667,61589167,1.694427124,110401825,3124761,2.830352669,1.081969294
16,1244289356,588791188,0.473194748,14594560,1514760,10.37893571,130143101,4440136,43113678.1,283478000,4243941,1.497097129,12784622,1511308,11.82129593,1.438813698
16,1.79425E+12,1.39849E+12,0.779426233,14525534581,12903465,0.088832978,1.8939E+11,4488972378,4468530026,5.9575E+11,9266047156,1.55535718,14565969127,12642040,0.086791616,10.90612054
